1	N	48
1	J	48
1	R	48
2	N	48
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	360
4	R	360
4	W	360
0	R	360
4	J	381
4	R	381
4	W	381
0	R	381
4	J	412
4	R	412
4	W	412
0	R	412
4	J	450
4	R	450
4	W	450
0	R	450
4	J	478
4	R	478
4	W	478
0	R	478
4	J	486
4	R	486
4	W	486
0	R	486
4	J	514
4	R	514
4	W	514
0	R	514
4	J	527
4	R	527
4	W	527
0	R	527
4	J	544
4	R	544
4	W	544
0	R	544
4	J	573
4	R	573
4	W	573
0	R	573
4	J	608
4	R	608
4	W	608
0	R	608
4	J	627
4	R	627
4	W	627
0	R	627
4	J	648
4	R	648
4	W	648
0	R	648
4	J	680
4	R	680
4	W	680
0	R	680
4	J	705
4	R	705
4	W	705
0	R	706
4	J	724
4	R	724
4	W	724
0	R	724
4	J	756
4	R	756
4	W	756
0	R	756
4	J	821
4	R	821
6	N	821
6	J	822
4	W	822
6	R	822
7	N	824
7	J	824
8	N	824
8	J	825
6	W	826
8	R	826
8	J	831
7	R	831
7	W	831
8	R	831
8	W	926
0	R	926
7	J	932
7	R	932
7	W	932
0	R	932
8	J	1027
8	R	1027
8	E	1027
6	J	1027
6	R	1027
6	E	1028
4	J	1028
4	R	1028
9	N	1028
9	J	1029
4	W	1029
9	R	1029
4	J	1031
9	E	1032
4	R	1032
4	W	1032
0	R	1032
7	J	1033
7	R	1033
10	N	1033
10	J	1033
7	W	1034
10	R	1034
10	W	1134
0	R	1134
10	J	1235
10	R	1235
10	E	1235
7	J	1235
7	R	1235
7	E	1236
1	J	1236
1	R	1236
1	W	1236
0	R	1236
4	J	1765
4	R	1765
4	W	1765
0	R	1765
4	J	1767
4	R	1767
4	W	1767
0	R	1767
4	J	1783
4	R	1783
4	W	1783
0	R	1783
4	J	1804
4	R	1804
4	W	1804
0	R	1804
4	J	1830
4	R	1830
4	W	1830
0	R	1830
4	J	1853
4	R	1853
4	W	1853
0	R	1853
4	J	1873
4	R	1873
4	W	1873
0	R	1873
4	J	1903
4	R	1903
4	W	1903
0	R	1903
4	J	1961
4	R	1961
11	N	1962
11	J	1963
4	W	1963
11	R	1963
