1	N	48
1	J	48
1	R	48
2	N	48
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	600
4	R	600
4	W	600
0	R	600
4	J	646
4	R	646
4	W	646
0	R	646
4	J	698
4	R	698
4	W	698
0	R	698
4	J	769
4	R	769
4	W	769
0	R	769
4	J	861
4	R	861
4	W	862
0	R	862
4	J	904
4	R	904
4	W	904
0	R	904
4	J	941
4	R	941
4	W	942
0	R	942
4	J	1004
4	R	1004
4	W	1004
0	R	1004
4	J	1029
4	R	1029
4	W	1029
0	R	1029
4	J	1083
4	R	1083
4	W	1083
0	R	1083
4	J	1142
4	R	1142
4	W	1142
0	R	1142
4	J	1198
4	R	1198
4	W	1198
0	R	1198
4	J	1257
4	R	1257
4	W	1257
0	R	1257
4	J	1314
4	R	1314
4	W	1314
0	R	1314
4	J	1381
4	R	1381
4	W	1381
0	R	1381
4	J	1448
4	R	1448
4	W	1448
0	R	1448
4	J	1484
4	R	1484
4	W	1484
0	R	1484
4	J	1534
4	R	1534
4	W	1534
0	R	1534
4	J	1710
4	R	1710
6	N	1711
6	J	1711
4	W	1712
6	R	1712
7	N	1713
7	J	1714
8	N	1714
8	J	1714
6	W	1715
8	R	1715
8	J	1720
7	R	1720
7	W	1720
8	R	1720
8	W	1815
0	R	1815
7	J	1821
7	R	1821
7	W	1821
0	R	1821
8	J	1916
8	R	1916
8	E	1916
6	J	1916
6	R	1916
6	E	1917
4	J	1917
4	R	1917
9	N	1917
9	J	1918
4	W	1918
9	R	1918
4	J	1920
9	E	1921
4	R	1921
4	W	1921
0	R	1921
7	J	1922
7	R	1922
10	N	1922
10	J	1922
7	W	1923
10	R	1923
10	W	2023
0	R	2023
10	J	2124
10	R	2124
10	E	2124
7	J	2124
7	R	2124
7	E	2125
1	J	2125
1	R	2125
1	W	2125
0	R	2125
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3263
4	R	3263
4	W	3263
0	R	3263
4	J	3285
4	R	3285
4	W	3285
0	R	3285
4	J	3285
4	R	3286
4	W	3286
0	R	3286
4	J	3334
4	R	3334
4	W	3334
0	R	3334
4	J	3374
4	R	3374
4	W	3374
0	R	3374
4	J	3427
4	R	3427
4	W	3427
0	R	3427
4	J	3454
4	R	3454
4	W	3454
0	R	3454
4	J	3518
4	R	3518
4	W	3518
0	R	3518
4	J	3601
4	R	3601
11	N	3603
11	J	3603
4	W	3604
11	R	3604
